trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.261845668580326}",25,16,7.179797786933801,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",30,13,21.796964217548886,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,5,10.689656252991597,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,12,12.490322274460517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2515785530597565}",20,7,-46.0466687491897,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.2490753046316682}",20,14,2.2621433299400926,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160646}",20,5,5.401593212222941,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,0,20.703873723038615,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.24171401689703648}",20,3,6.888984191053247,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,5,-28.303562768403893,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.2369277586821218}",20,16,6.5957871254516895,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379768}",25,8,-33.24030924831813,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975886}",30,16,14.647980013870336,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672387}",30,10,-52.85684372017633,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381276}",20,11,18.4793370229867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943875}",20,12,-16.03270167858622,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842985}",25,17,4.993652910615539,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.22090997795937822}",25,18,12.113337277874855,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221477}",25,16,17.623327712769253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,14,-18.29527791000497,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697797}",20,0,-4.518143952404486,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674307}",25,13,-77.69694709073384,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076475}",25,14,-35.628811819086096,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",30,21,18.647528826509483,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
